epoch,train_loss,val_loss,lr,perplexity,global_step
1,1.0398875883512855,0.9008145277384931,1.7071067811865447e-05,2.461607342256774,800
2,0.8303005007371211,0.8866846846825128,9.999999999999987e-06,2.4270697965192407,1600
3,0.7170916955737585,0.8826860706159173,2.9289321881345206e-06,2.417384258359933,2400
4,0.6631589249316591,0.8838573918466675,0.0,2.42021745082995,3200
