epoch,train_loss,val_loss,lr,perplexity
1,5.464536827041482,4.712331677707086,0.00029871672920607153,111.3113998658417
2,4.471641623665825,4.231956655153002,0.0002948888739433602,68.85181972805618
3,4.134444562959091,4.006510597924329,0.000288581929876693,54.95477630082274
4,3.9267640442300165,3.8716863228966285,0.0002799038105676658,48.02330062903938
5,3.7646560095128927,3.7362275840257797,0.00026900300104368524,41.93947820891705
6,3.6302817250442265,3.634474892571615,0.0002560660171779821,37.88195557720874
7,3.515464357414003,3.5496414864679364,0.00024131421435130812,34.800838679231184
8,3.416594927700861,3.478675390141646,0.00022500000000000002,32.416754072205904
9,3.328844709448696,3.417810874956166,0.00020740251485476348,30.502567944053215
10,3.2556322767355246,3.376184228208385,0.00018882285676537813,29.258912502565902
11,3.1887639880467185,3.336684474620892,0.00016957892883300778,28.125720405684884
12,3.1363730804451118,3.3030075261132237,0.00015000000000000001,27.19430363303145
13,3.084749394904209,3.273653835014796,0.00013042107116699228,26.407652485257348
14,3.044470931140938,3.255772304220659,0.00011117714323462191,25.93964009361825
15,3.011127127625293,3.236734146564072,9.259748514523657e-05,25.450468375103778
16,2.9829256928132333,3.2249999573443278,7.500000000000003e-05,25.15357308287577
17,2.95733019711883,3.216802046160875,5.86857856486919e-05,24.94820925215268
18,2.9404491447475247,3.205811833690282,4.393398282201788e-05,24.675524309118263
19,2.9268237530781898,3.20102749631672,3.099699895631474e-05,24.557750236056428
20,2.9144292278161936,3.1965387524311386,2.0096189432334194e-05,24.447763819941773
21,2.905502644411506,3.193858802794087,1.1418070123306989e-05,24.382332759300596
22,2.8993663049189977,3.193009163528691,5.11112605663977e-06,24.361625370157494
23,2.899470216873447,3.191658765360832,1.2832707939284424e-06,24.32874967852438
24,2.8961026229631583,3.1913015829867635,0.0,24.32006142969313
